index,accX_L,accY_L,accZ_L,total_acc_L,accX_R,accY_R,accZ_R,total_acc_R,L_act,R_act
1875,-0.8190000000000001,0.42700000000000005,-0.35600000000000004,0.99,-0.794,0.5660000000000001,-0.293,1.018,Idle,Idle
1876,-0.8190000000000001,0.42700000000000005,-0.353,0.9890000000000001,-0.8859999999999999,0.579,-0.314,1.104,Idle,Idle
1877,-0.82,0.426,-0.363,0.993,-0.8740000000000001,0.449,-0.33299999999999996,1.037,Idle,Idle
1878,-0.82,0.42700000000000005,-0.353,0.99,-0.898,0.402,-0.308,1.031,Idle,Idle
1879,-0.818,0.426,-0.35700000000000004,0.9890000000000001,-1.036,0.46799999999999997,-0.521,1.251,Idle,Idle
1880,-0.82,0.42700000000000005,-0.35700000000000004,0.991,-0.9990000000000001,0.426,-0.5589999999999999,1.2209999999999999,Idle,Idle
1881,-0.818,0.424,-0.35700000000000004,0.988,-0.986,0.45399999999999996,-0.532,1.209,Idle,Idle
1882,-0.8190000000000001,0.42700000000000005,-0.35200000000000004,0.988,-1.0090000000000001,0.433,-0.5710000000000001,1.238,Idle,Idle
1883,-0.8190000000000001,0.42700000000000005,-0.35700000000000004,0.99,-0.8859999999999999,0.40399999999999997,-0.51,1.099,Idle,Idle
1884,-0.8190000000000001,0.42700000000000005,-0.355,0.99,-0.851,0.507,-0.5670000000000001,1.141,Idle,Idle
1885,-0.8190000000000001,0.426,-0.35600000000000004,0.9890000000000001,-0.7490000000000001,0.564,-0.6509999999999999,1.141,Idle,Idle
1886,-0.818,0.428,-0.359,0.991,-0.8,0.627,-0.611,1.186,Idle,Idle
1887,-0.8190000000000001,0.42700000000000005,-0.361,0.992,-1.129,0.8759999999999999,-0.258,1.452,Idle,Idle
1888,-0.8170000000000001,0.42700000000000005,-0.35600000000000004,0.988,-0.648,0.9490000000000001,-0.281,1.183,Idle,Idle
1889,-0.818,0.42700000000000005,-0.35600000000000004,0.9890000000000001,-0.83,0.535,-0.40299999999999997,1.067,Idle,Idle
1890,-0.818,0.428,-0.35600000000000004,0.9890000000000001,-0.879,0.373,-0.359,1.02,Idle,Idle
1891,-0.8190000000000001,0.426,-0.355,0.9890000000000001,-0.922,0.243,-0.363,1.02,Idle,Idle
1892,-0.8190000000000001,0.42700000000000005,-0.355,0.99,-0.9640000000000001,0.085,-0.39,1.043,Idle,Idle
1893,-0.818,0.426,-0.358,0.9890000000000001,-0.976,0.08199999999999999,-0.52,1.109,Idle,Idle
1894,-0.8190000000000001,0.425,-0.35600000000000004,0.9890000000000001,-0.9590000000000001,0.14400000000000002,-0.541,1.11,Idle,Idle
1895,-0.8190000000000001,0.428,-0.353,0.9890000000000001,-0.9329999999999999,0.166,-0.547,1.094,Idle,Idle
1896,-0.818,0.425,-0.35600000000000004,0.988,-0.8809999999999999,0.247,-0.585,1.0859999999999999,Idle,Idle
1897,-0.8190000000000001,0.426,-0.353,0.988,-0.804,0.337,-0.652,1.089,Idle,Idle
1898,-0.8190000000000001,0.426,-0.358,0.99,-0.767,0.371,-0.6409999999999999,1.0659999999999998,Idle,Idle
1899,-0.8190000000000001,0.425,-0.36,0.99,-0.742,0.377,-0.642,1.051,Idle,Idle
1900,-0.82,0.424,-0.353,0.988,-0.86,0.35200000000000004,-0.6970000000000001,1.162,Idle,Idle
1901,-0.818,0.425,-0.35600000000000004,0.988,-0.9009999999999999,0.341,-0.7390000000000001,1.214,Idle,Idle
1902,-0.8170000000000001,0.42700000000000005,-0.35600000000000004,0.988,-0.953,0.275,-0.713,1.222,Idle,Idle
1903,-0.82,0.426,-0.35700000000000004,0.991,-0.965,0.102,-0.718,1.207,Idle,Idle
1904,-0.818,0.428,-0.354,0.9890000000000001,-0.966,0.113,-0.698,1.197,Idle,Idle
1905,-0.8190000000000001,0.426,-0.35700000000000004,0.99,-0.895,0.14400000000000002,-0.667,1.125,Idle,Idle
1906,-0.8190000000000001,0.42700000000000005,-0.353,0.9890000000000001,-0.684,0.282,-0.61,0.9590000000000001,Idle,Idle
1907,-0.8170000000000001,0.42700000000000005,-0.353,0.987,-0.657,0.29,-0.614,0.945,Idle,Idle
1908,-0.818,0.42700000000000005,-0.355,0.9890000000000001,-0.6859999999999999,0.252,-0.63,0.965,Idle,Idle
1909,-0.8190000000000001,0.426,-0.35600000000000004,0.9890000000000001,-0.9,0.034,-0.579,1.071,Idle,Idle
1910,-0.82,0.428,-0.35700000000000004,0.991,-0.8390000000000001,0.019,-0.563,1.011,Idle,Idle
1911,-0.8190000000000001,0.42700000000000005,-0.35700000000000004,0.99,-0.762,0.027999999999999997,-0.5479999999999999,0.9390000000000001,Idle,Idle
1912,-0.82,0.426,-0.359,0.991,-0.7,0.003,-0.5429999999999999,0.8859999999999999,Idle,Idle
1913,-0.8190000000000001,0.42700000000000005,-0.35200000000000004,0.988,-0.722,-0.005,-0.539,0.9009999999999999,Idle,Idle
